Sub #,Proof-read,Select your age range,Select your location
36,How can we prevent dementia.,30-39,Louth
37,"Ban vulture funds. The fact that they are prioritised over regular, hard working people is entirely immoral and against everything this country should stand for. Any and all jobs should pay enough to afford a house in any part of the country no exceptions.",20-29,Kildare
38,"It’s time to prioritise the arts sector just as much as sport. The fact that most Irish artists must go abroad to find success (Oscar Wilde, Cillian Murphy, Saoirse Ronan, etc) is simply not good enough and needs to change.",20-29,Kildare
39,"It is time for people to choose where their taxation goes, the sectors that matter to people the most are the only ones that should be funded, I don’t want my money going towards aiding coo-coo funds and demolishing any of my hope for owning a house in Dublin as an artist.",20-29,Kildare
40,"I believe that a greater emphasis on the benefits of the work researchers do through popular social media outlets would create a better future for Ireland. If the youth of Ireland have an increased interest within the STEM areas, we may have an increase of demand in PhDs and fellowship programmes in the future, which will also lead to an increase of demand in research funding and therefore more active researchers.",20-29,Dublin
41,"It is time for Irish politics to become more accessible, information on local candidates or representatives is not that easy to come by and it is hard to understand the full spectrum of their views without talking to them while they are canvassing which is not possible for every constituent. I believe all political parties by law should have to disclose the views of all candidates in an easy to understand format.",20-29,Kildare
42,"We need to do lots of research into horticulture in Ireland. That's tillage, fruit and vegetables and nursery stock. That's encouraging young people and existing farmers into horticulture. That's peat free  production, grown in a way that increases soil carbon and soil organic matter and doesn't rely on fossil fuel based fertilizers, or dangerous fungicides and pesticides.",40-49,Galway
43,"Work towards a zero waste society. Products in supermarkets do not require to be so overly-packaged, eg tube of toothpaste in a box, & labelling the packaging as recyclable is not good enough as it doesn't need to be produced in the first place. Promote refill stations as the norm. Refill stations in supermarkets for as many products as possible. Incentivise the consumer by charging for packaging. Reward refillers!",40-49,Limerick
44,"Womens health ! Given how women have been neglected globally and in Ireland, it would be quite the trailblazer approach to set up a focussed research group on womens health: endomitriosis, maternal healthcare, pregnancy and birth, breast cancer, menopause , etc. There is so much that is neglected, Ireland would boost its profile globally as a leader to do such a thing. Also, women need a break!",40-49,Dublin
45,"Home ownership.  Increase and expand the first time buyers ""grant"" to allow for individuals to get a maximum contributions of €50,000 and allow for 2nd hand houses/apartments to be included.",,
46,"I believe Ireland needs a partially automated emergency alert system similar to that of the United States and Japan. Back when storm Emma was around the announcement was not automated, it a more immediate emergency, there must be a way to get information to the public quickly via smartphone notification, radio announcement and television broadcast.",40-49,Kilkenny
47,"Researchers in Ireland could create a better future in a number of ways for those of us in the estimated 300,000 strong (individually rare collectively common) rare disease community. The reason why that number is estimated is that data bases and registries are almost as rare as the conditions. The challenge is to change that, increase genetics/genomics awareness and improve quality of life for affected families.",60-69,Dublin
48,"We need more investment in rail based transportation, particularly with Iarnrod Eireann, more stations should be opened in other parts of the country. We need to incentivise people to move away from cars to make less traffic, if rail transport is more convenient than driving (like Japan), it would reduce our carbon footprint and set us as an example for the rest of the world to follow.",30-39,Kildare
49,"Irish research can benefit itself from remote internships. COVID-19 has brought a new era of remote working. There are a great number of postgrads from countries outside the EU, who wants to pursue a PhD in Irish universities. Doing a non-paid remote internship first would give the supervisors the chance to see how they work and have future collaborations around the world.",30-39,Limerick
50,"I feel a review can be lead, with reference to best international practices, of the atmospheric chemistry monitoring programmes carried out by Met Éireann and set out a roadmap for developing its research capacity. It can develop and improve a roadmap for the modernisation of national monitoring programmes, in collaboration with stakeholders such as the EPA and WMO, ensuring a world-class service into the future.",40-49,Dublin
51,"Hi, well done and thanks for giving the opportunity to people to share their views and also participate in democracy. For me, I believe the government could introduce incentives for GAA players at club level. Alot of commitment and sacrifice for each player to represent their club and communities. Player welfare at club level needs innovation. Implementation of a regulatory club welfare officer. Government intervention!!",20-29,Limerick
52,"Animal agriculture is related to high cancer rates in humans, increasing antibiotic resistance, land-use issues, animal cruelty, and a large carbon footprint - meaning it is difficult for Ireland to meet its future carbon requirements.

How can we direct research to help bring an end to animal agriculture by developing and promoting alternative plant-based and lab-cultivated meats?",30-39,Donegal
53,"Recognise the social determinants of health and the impact on oral health and conduct research that ensures each individual has the chance for their best oral health. For example, view the image in this ad associated with 'A national conversation on research in Ireland' .Notice the full engaging smiles of the selected actors, sadly these full smiles are not the experience of all.",50-59,Cork
54,"1. More investigation on using technologies similar to the Pfizer/Moderna covid-vaccine (gene therapy and cell therapy) for other type of diseases and conditions, such as several types of cancer, regenerative medicine, congenital syndromes, among others.

2. Develop better and more realistic in vitro models for testing drugs/therapeutics, thus minimising the in vivo tests in experimental animals.",30-39,Dublin
55,"Our country desperately needs to invest in our clinical genetics services. We are decades behind our European counterparts. 
This needs urgent investment and incorporation into our hospitals.
Not small research grants and most definitely not private companies.",30-39,Dublin
56,"Cross-sector research collaboration to accelerate improvements in child and youth health/well-being of children with co-morbid conditions e.g mental health, learning differences, autism spectrum diagnosis. And do the research with them, people support what they help to create.",60-69,Dublin
57,"A publically available reference genome for Irish people.
Much of this data was promised through investments in Genuity (formerly GMI), yet nothing has been released even now, several years on.",30-39,Dublin
58,Ensure research on Traveller's is carried out by Traveller researchers. Investment is needed to ensure Travellers have the necessary skills/expertise to be researchers.,,
59,"Ireland has a focus on two technical areas: pharma/biotech/medtech and computer sciences. Enabling the two to collaborate more closely could apply AI to defining structures of natural elements like proteins and enzymes, detect defective structures in disease, and create treatments to overcome the defects.
https://www.nytimes.com/2021/07/22/technology/deepmind-ai-proteins-folding.html?campaign_id=2&emc=edit_th_202107",60-69,Mayo
60,Link provided,16-19,Cork
61,"There is need for more victim research, like feedback about their process and interactions with Criminal Justice System. 

There also need for research about families who have stay hotels that are homeless , how it effects them and their families. 

Also, research on Human trafficking and its effects.",40-49,Waterford
62,"Maximize the efficiency and environmental sustainability of the production process for renewable energy systems like solar panels, batteries, etc.",,
63,Research new products for road surfaces such as recycled or waste materials.,,
64,Research massive scale carbon capture devices. ,,
65,"Childcare costs a family with one child 550+ a month. I know families who have had a parent give up a job after child 2. With a wage under 40,000 and two children in childcare it makes more financial sense to quit work, save on childcare, and get a benefit.

The gov misses out on PRSI etc. and are paying out an extra benefit. I think it would be worth the government investing in childcare.",20-29,Louth
66,"Make sure initiatives look to the technology generation after the current one that’s in vogue.
For example, 
 1) The hydrogen economy will supersede renewable technologies.
 2) Quantum computing is next after internet of things (IOT).
 3) AI in medical diagnostics.
I remember the advantages that accrued when the country went directly to digital telephone exchanges and missed the then latest electro-mechanical.",60-69,Dublin
67,"Ireland should be at the forefront for developing ways to dispose of human faeces safely, i.e. rather than polluting our seas. Its hard to believe in this day and age that waste treatment plants still overflow during periods of heavy rain and end up in the sea.",,
68,"I am writing this as a mother of 4, 2 of my children have ASD, my husband has a disability and uses a wheelchair. I would like there to be better opportunities for people with ASD and more inclusion. It is hard to gain employment and many may not be able to attend college and live away from home. There needs to be supported pathways to employment. Disabled people are worse off generally and will never own a house etc.",30-39,Kerry
69,"I was a Montessori teacher for over 20 years. Hung my teaching boots up in June, the system for early years education is not working for us teachers. My idea is to integrate early years in primary school system, as it is in my native country Spain. I went to same school from 3 to 12 years, and it was my second home.",40-49,Kildare
70,Implications of colonialism on Ireland and how it impacts the availability of Irish language resources / frequency of spoken Irish on the island of Ireland.,,
71,For me and probably many other wheelchair users I would like research on material science so that I can buy nice winter jackets without the risk of them being destroyed very quickly.,40-49,Kildare
72,"Secure public water, we should not have summer shortages of water.  I think we should look for innovative ways to secure water sources for our main cities.",,
73,During the paramedic as I've noticed that there appears to have been an increase in urban wildlife  - particularly foxes.  We should find out the number of foxes in our cities and consider issues such as public health and safety.,,
74,"In the conversation about “mental health”, people with serious mental illness, like psychosis, can get left behind. These are some of the most vulnerable people in society. There should be more research on prevention treatment of serious mental illness.",40-49,Dublin
75,"Despite all the health campaigns young people, particularly females still continue to smoke. I'd like researchers to look at this.",,
76,"The profession and skill of teaching are grossly undervalued at all levels. Grave concern re 2nd level. Restructure teacher education and application procedures/criteria to make teacher training and life as a teacher attractive. It is becoming less so as is not valued in many ways, in some cases justifiably.  Up the calibre of applicants, raise standards of expertise & teaching skills, & in turn the education our children get.",50-59,Cork
77,"We need to have 24/7 community mental health crisis teams throughout Ireland.
We need to seriously look at the recruitment of Peer Support Workers on these teams.  We are never going to tackle the suicide rates if this is not put into practice.
Resource our community mental health teams, work together with Gardai and communities together to tackle our vision for an inclusive Ireland.",50-59,Dublin
78,"Make young researchers employees, so that they get the pay and protection from exploitation they deserve.",,
79,"A key area for Irish research is space-based technology. Space is a more highly essential economic frontier than I imagined. I think leveraging space-based technology is a good way of ensuring that Ireland stays competitive in IT/AI and protects its democratic values and security. ""Within the EU alone, satellite navigation signals enable about 10% or over €1,100 billion of the Union's GDP.""https://bit.ly/3eTtCfO",50-59,Tipperary
80,"Please research the idea of a designated 'cultural' area or quarter for Dublin, which would protect cultural venues and amenities. As a young(ish) Dubliner, I've watched the decline of cultural spaces and activities as historical buildings have been knocked down/sold off to be replaced by new office blocks and countless hotels. We want independent creative spaces to socialise.",30-39,Dublin
81,"Please research how we introduce better transport (public transport, bike and car) systems without losing all of our beautiful old trees. With the current bus connects proposals, so many gorgeous trees will be ripped out. We need to balance the health and visual benefits of our historic trees with needs to improve transport. These findings would help all town planning!",30-39,Dublin
82,"Researchers are already doing this but are limited in impact. Precarity in work, i.e. the vast majority of postdoctoral researchers. Creates a situation where the same group of people move around to work on 2 year projects at a few university departments always looking for a new job, can can't be fully committed. Full time research teams could secure funding, be more responsive to social issues and have more impact.",,
83,"Digital policy is a critical area where researchers can have a significant impact. Dublin is a digital hub for industry, it should also be a hub for digital policy development. Ireland is in a unique position with big tech HQs based here. Imagine a Chatham House for digital policy where platforms, researchers, politicians and European representatives can come together and develop evidence based digital policies.",30-39,Louth
84,Tackle the issue that affects 1.2million people in Ireland. How might we bring multiple stakeholders together to change how we deal with childhood sexual abuse? This is a systemic problem in Irish society. We need analzye how the media reports on these issues as well as educating our society about how to stand up for kids they know are being groomed or abused. This silence is what keeps this issue perpetuating.,40-49,Dublin
85,Coeliac disease is a chronic disease. It is believed the Irish prevalence is high. There is no national register of coeliac disease. This makes it very difficult to attain accurate prevalence and characteristic data on coeliac disease in Ireland. An Irish coeliac disease register could allow research on coeliac disease in Ireland enabling better direction of health system resources and increased coeliac diagnosis.,20-29,Dublin
86,"Research to better understand the health benefits of fermented foods (and the microbes therein) and, in turn, developing next generation health promoting fermented foods (establishing Ireland as leaders in this space).",40-49,Cork
87,"Truly show young people and those who are disconnected from their optimum place in life how to re-engage with learning and find a career or vocation that delivers for them and society. Future Proof North West is a community led initiative which aims to bridge the social, civic, cultural and economic divide that has left the Northwest of the island in isolation. We are going to facilitate that and need your help.",40-49,Dublin
89,"Sponsor 10-20 new lecturer roles (5 yr term).
‘Memory, meaning-makers, transformation, & healing in a post covid world’. 
Project: what have we lost, & what have we learnt from COVID? How can we help each other heal? What values have changed for us? How does our individual & collective memories constitute our shared identities? What transformative experiences drive us to become better human beings and how?",40-49,Dublin
90,"I would like to see researchers work with patients, public, clinicians, health policy makers & industry to design safe ways for our populations genomic data to be used in research & medicine to improve personalized prevention & early intervention medical care. The current lack of genomics policy, public education, & investment in genomics research & medicine is impoverishing our population health, esp the vulnerable.",40-49,Wicklow
91,"Paediatric mental health services for children with chronic illnesses really need to be improved! Children who attend paediatric services with severe illness are at high risk of mental health disorder, yet very few liaison psychiatry services in Ireland. Why? These services improve communication, adherence, quality of life. Should be a no-brainer! Also these children shouldn't have to face long community waitlists.",30-39,Dublin
92,Suicide is a leading cause of death in young people. We talk a lot about getting help. But where can people go in crisis? Especially under 18s. Hardly any paediatric emergency departments have trained mental health staff on site despite society acknowledging this area is vital to support. We need mental health support in every paediatric emergency department. This would provide early links to onward referrals needed.,40-49,Dublin
93,"Ireland needs to coordinate research funding through 1 central agency. Why?
1. Researchers are competing for multiple pots of funding which have different formats - this is very time consuming and wasteful.
2. National oversight of where Ireland’s research strengths are would be beneficial and avoid duplication.
3. Simplification is needed in funding application processes as parts are laborious and repetitive.",50-59,Galway
94,"Learn from the pandemic! 
Include people from all sectors of society in research - children, parents, persons with disabilities, women, older people!
More consultation and better advertisement of consultations.",,
95,"Incentivize registered postgraduate research scholars to engage with schools, country-wide, to encourage engagement in science; by supporting (1) meaningful science experiments (for BTYS/SciFest); (2) journal clubs & debates on topics such as vaccination, ethics, climate-change etc. PGRs can provide access to resources (experimental equipment; statistical analysis) to support students in the areas of interest.",50-59,Dublin
96,"Tackle fake-news:
Johnson, Gove (UK), Bolsanaro, (Brazil) Trump (exUSA) have all publicly dismissed the role of ‘experts’ in their government models as a means of attracting a disaffected vote, to disastrous consequences. Can we tackle the fake-news pandemic, and ensure that all “facts"" are fact checked publicly, to rebuild a culture of truth, respect for expertise and honest, credible communication.",50-59,Dublin
97,Be the first country globally to ban single-use plastic in food packacking. Alternative packaging is available and could be used if the regulatory framework was established. A simple idea which would have a truly global impact and demonstrate Ireland's commitment to sustainable living.,50-59,Galway
98,"Irish (gaelige) should be the solve language for teaching in primary and senior infants. Also, new Irish citizens should pass an Irish language test.",,
99,"Housing - total reboot.
Audit and analyse the entire housing provision system from planning to councils to construction to social to developer led.
Research questions:
How can housing provision be driven by the wants and needs of the greater good.
How do we ensure the state (gov, councils, state bodies) drive all decisions about what is needed and where.
How do we ensure developers have limited input.",40-49,Dublin
100,"How do we ensure healthcare for all and remove the two tier system.
A systems/service design project.
Audit current provision.
Interview all stakeholders.
Re-design system from top to toe.
Use the energy and momentum for rapid change created by the Covid pandemic to dove tail into a complete user-centered overhaul of the entire system.",40-49,Dublin
101,"Re-Designing Democracy.
—
How do we bring the ‘citizens assembly’ model into every day politics?
How do we ensure politicians make the correct decisions for the greater good.
How do we ensure politicians do not prioritise self-preservation and re-election ahead of hard decisions?
How do we crowd source the best ideas?
How do we prevent abuse of toxic influence in online communities and public discourse.",40-49,Dublin
102,"How do we make the sustainable green agenda a common sense practical and profitable set
of actions for all organisations in Ireland?

ie. How do we move away from the tokenism of ‘lettuce on windowsills’ to make green energy a hugely practical, beneficial and profitable sector that benefit society, environment, economy.

Treat the environment as respectfully we do the economy. Goose / golden egg.",40-49,Dublin
103,"Radical changes to intensive agriculture and forestry are necessary. Our biodiverity is collapsing, and our society will follow.  Our drainage ditches are full of slurry and nutrient runoff, our air is full of ammonia and nitrous oxides and our bird populations are plummeting.

This is the most important thing we need to change.  Research how to effect these changes fast.  Before it is too late.",50-59,Sligo
104,"I have many wonderful ideas about the future. But how can I do justice to any of them with a mere 420 character limit? I am sorely disappointed, as I am a very serious minded citizen and would love to contribute.
Is there some other means of submitting larger, more substantial information? Broadly, I believe Ireland should play to its strengths:
Human dignity. Ecological renewal. Global humanitarian development.",30-39,Sligo
105,"Legal innovation to prevent the militarisation of space. To be presented to the EU, and in other forums internationally.

Ireland, as a neutral peace-loving nation, with a fantastic history of diplomacy, peacemaking and peacekeeping with the UN, would be well-placed to make valuable contributions to international law, without much of the vested interests of the military-industrial complex.",30-39,Sligo
106,"Introduce legislation to enable PhD or Masters students to take an intensive upskilling course in Teaching that lasts less than one year.

That way we could address the shortage of qualified teaching staff.

This could be part of an EU wide effort to ensure mutual recognition.",30-39,Sligo
107,"Irish researchers could work with companies that operate in this jurisdiction to map out their supply chains, to identify potential issues with labour exploitation - such as child labour (mining in the Congo; sweatshops in the Far East and Latin America), dangerous conditions (eg The Rana Plaza disaster), and outright slavery. etc.
The International Labour Organisation has useful standards to help Irish research.",30-39,Sligo
108,"Commission artistic collaborations between artists and technical/scientific professionals to envisage positive, humane visions of a sustainable future, with ecological balance.
Many science fiction movies depict a dystopian future, or one irritating saturated with intrusive technology. Let's change the narrative and provide vision, and leadership in eco-futurism. [Solarpunk. Unobtrusive tech. Green civil space]",30-39,Sligo
109,"Researchers could scope out feasibility of providing safe daycare sleeping&washing facilities to the homeless, shifting body-clock to a night shift pattern, until they get back on their feet. They could then be well-placed for night-shift jobs, to help them on their path back to normality.
Sleep patterns often take a beating when one is homeless, and it is not safe to sleep rough, so it may be safer to sleep daytime",30-39,Sligo
110,"Contribute much much more that we currently do to ongoing efforts to eradicate ebola, lassa fever, trypanosomiasis, schistosomiasis, malaria, TB, and zika virus.

That is, to prioritise research into treatments, vaccines, preventatives and diagnostics for neglected tropical diseases and viruses of pandemic potential, and diseases that disproportionately affect the global poor.",30-39,Sligo
111,"In each county, ensure that there is a minimum of two community Garda officers who have advanced languages training in Polish. (etc)

Additionally, increasing the general provision on-the-job of languages training to An Garda Siochana. 

This is such a massive help for working with vulnerable groups such as victims of trafficking, prostitution, and tackling international drug crime. Seek input from Ruhama etc.",30-39,Sligo
112,"Working with immunologists, create a centre of excellence for research into safe and effective vaccine adjuvants.

This is a much neglected area of research, but one where Irish researchers are very well placed indeed to make striking contributions.",30-39,Sligo
113,"Greatly increased grant funding and special initiatives in the area of:
using our understanding of the glymphatic system to clear-out neural amyloids in a range of neurodegenerative conditions, such as dementias, Alzheimers, Parkinsons, etc.
Research into the affect of sleep pattern on risk of developing neurodegeneration. (Glymphatic system impairment leading to onset of brain amyloids, and loss of function etc).",30-39,Sligo
114,"Work with engineering societies, and private industry to start putting in place the actual physical infrastructure for electric vehicles. Before the majority of the Irish population shift to electric vehicles, charging points will need to be much more widespread.

Public money should only be given out when the contract ensures the ownership of infrastructure returns to the Irish people (the State), within <6 years.",30-39,Sligo
115,"Irish researchers would be well-placed to investigate the humanitarian potential of Irish State aid to build resilient infrastructure in developing countries.

Hospital/health clinics, maternity care, water treatment, toilet/sanitation systems, good roads/rail, electrical systems, etc in the global south.

This would be in parallel with our research efforts into diseases and vaccines/medicines.",30-39,Sligo
116,"Support and provide special initiatives/grants to work into anti-tumoural activities of NK cells in the immune system.
Much immune cell research into tumor therapy is directed to T-cell biology (NK-Tcells, killer T-cells) etc, but neglects to role of ""standard"" NK cells. Also, ADCC. This is a big research blindspot, and a golden opportunity to advance immunotherapy options for cancer patients everywhere.",30-39,Sligo
117,"Research to prevent misidentification of gifted children and adults.
There is a worrying trend of healthy gifted children being misdiagnosed as having autism spectrum diseases, hyperactivity, behavioural disorders. The two can coexist (2E individuals).  Yet many perfectly healthy Gifted people are wrongly mistaken by clinicians as Asperger's or ADD.
Research into supporting emotional and social needs of gifted/SENG.",30-39,Sligo
118,"At very very low cost, set up a pan-European project to detect asteroids and comets with Earth collision potential. 

Much of the theoretical work involves inexpensive mathematics and a minor increase in grant funding in this direction could greatly increase quality and useful output.

Target for an effective planetary defense system (asteroid deflection) by 2045.",30-39,Sligo
119,"Aiming to avail of the industrial benefits of halocarbon gases, while not running afoul of the Montreal Protocol (CFCs), many Irish industries such as construction sector have shifted to fluorocarbon gases (HFCs). However, although these have vastly reduced impact on Ozone Layer, many are potent GHGs.
Research to identify effective non-toxic, non-ozone depleting, non-GHG CFC and HFC replacement chemicals. Green chem.",30-39,Sligo
120,"An Irish developed compact laser-driven proton accelerator for medical use (cancer therapy).

By 2035-2040, at higher energies, for muon production. Beat-driven systems in plasma laser wakefields can accelerate protons to energies required for Muon production. Muons for imaging, nuclear waste decontamination and detection.

Note - not in contravention of EURATOM - let's keep Ireland nuclear free!",30-39,Sligo
121,"Radically decrease the cost of therapeutic antibody production by supporting research in Ireland for hydroponic production in genetically modified duckweed. etc.
Genome engineering with CRISPR/Cas9 to increase yields of plant produced recombinant antibodies; and to remove undesirable glycosylation pathways. 
A special funding call to support that Irish government to retain licensing rights to technology and products.",30-39,Sligo
122,"More funding in the ""social sciences"" to research opportunities for improving civil society, both in Ireland, and in communities under pressure.

We all want to live in safer, happier communities, with good values, welcoming energy, and a humanitarian ethos. Efforts to cultivate that by keeping green spaces, providing meeting spaces for young and old alike, and supporting local charities and volunteer groups etc.",30-39,Sligo
123,"Greater funding over next decade to our outstanding Met Eireann, to allow them to:
To work with Planning & Housing Dept to identify and avoid flood plains during housing construction National Plan.
Build a new campus/training centre/summer school.
Take on more students/interns, within Ireland, EU, and especially from developing nations on knowledge exchange and capacity building experiences.",30-39,Sligo
124,"Work with the many IDA supported multinational corporations to offer their technical/R&D staff opportunities to mentor and teach Green technical and social innovations to help the most vulnerable in the global community. EWB-Ireland. Grants etc.
Require all students in Third-Level institutions to do at minimum one course where they need to consider humanitarian initiatives to help the globally poor and marginalised.",30-39,Sligo
125,"With written informed consent, collect blood samples now from Irish people who have recovered from COVID-19, for historical archive purposes, basic research into protective antibodies, and into their immune system cytokines etc.
Following best practice to avoid abuses of privacy, ownership disputes, ethical issues etc. - but to still proceed, as it is worthwhile.",30-39,Sligo
126,"During certain viral infections, and during certain immune interventions with therapies, an unexpected and violently dangerous biochemical reaction can happen known as a ""cytokine storm"".

Famously, this resulted in the tragic deaths of some clinical trial participants for the biologic drug TGN1412.

More basic and applied research to prevent and treat same.  Antibodies to IL-6, IL-2, TNF-alpha and receptors. etc",30-39,Sligo
127,"Funding scheme to support Irish development of microfluidic devices with logic gates to do iterative total synthesis of complex biological molecules, via a lab-on-a-chip approach. CRANN/Tyndall/Curam
Inner surface of certain sections coated with enzymes; micro reservoirs with precursors, integrated LEDs/photochem.
Benefits: revolution in manufacturing of complex & valuable biochemicals, and general green chemistry.",30-39,Sligo
128,"State-backed investment in centre of excellence for using phage display to do directed evolution of next generation:
Therapeutic and diagnostic antibodies.
Material science - Energy generation (Solar), and storage (modular nano-batteries) [Angela Belcher - MIT]
Green materials.

This basic approach is validated basic science - won Nobel Prize 2018 - but is woefully underfunded. Massive opportunity for Ireland.",30-39,Sligo
